X,Y,Name,affiliation,awe_walk(y/n),initial_interview,mode,location,history(y/n),frequency,morphology1,morphology2,phenomenology1,phenomenology2,binary_threshold,binary_surprise,binary_sanctuary,binary_other,description
-71.0807,42.35489,A Familiar Cherry Tree,gardener,n,n,walk,park,n,timeless,nature,plant,wonder,familiar,n,n,n,y,"""familiarity of cherry tree that she uses as marker for walking loops around the Esplanade; the moss on the tree is mysterious and inviting"""
-71.0791,42.37255,A Newly Discovered Mural,gardener,n,n,walk,street,n,timeless,visual_design,art/object,beauty,novel,n,y,n,n,"""noticing something new: https://www.flickr.com/photos/runjanefox/27458264880
""We Speak for Those Who Can't Mural"""""
-71.1418,42.373,A Stranger Speaks of Spring,gardener,y,n,walk,park,n,periodic,moral_beauty,people,interconnection,inclusive,n,y,n,y,"""interconnection - pleasant to run into man in the park in the snow with his dog:
the man said ""it almost feels like spring, the sun feels warmer. this has been one of the most punishing winters in some time"""
-71.1196,42.38874,A View to Boston from Porter Square,CRA,y,n,walk,street,n,timeless,nature,vista,wonder,expansive,n,n,n,n,"""beauty of seeing all the way to Boston from Cambridge; feeling of being in Boston area but not being in Boston itself"""
-71.1209,42.37299,"A warm, late winter day at Harvard Square",gardener,n,n,walk,plaza,n,seasonal,collective_effervescence,people,interconnection,novel,n,n,n,n,"""collective effervescence - Tuesday evening in Harvard sq, seeing so many people outside interacting and feeling like city was full of life"""
-71.1296,42.38981,Abandoned land covered in clover,gardener,n,y,walk,park,n,seasonal,nature,plant,wonder,wild,n,y,n,n,"""wonder; strangeness of land covered in clover"""
-71.137,42.37854,Accessible Beauty,gardener,n,y,walk,street,n,seasonal,nature,green space,beauty,curated,n,n,n,n,"""appreciation for the beauty of the garden; appreciation for the people who did hide this garden from view - seeing this as a contribution to the community"""
-71.1167,42.37187,Adams House Gate,personal,y,n/a,walk,street,n,timeless,visual_design,art/object,beauty,ornate,n,n,n,n,gorgeous gate
-71.1082,42.363,Amigos Elementary School,gardener,n,y,walk,educational,n,daily,collective_effervescence,communities,interconnection,inclusive,n,n,n,n,"""interconnection; preschool community provides a sense of connection and welcomed cultural experience since its a spanish immersion school"""
-71.10913,42.36109,"Animals that begin with ""Ra""",gardener,n,y,walk,street,n,periodic,nature,animal,wonder,wild,n,y,n,y,"wonder; saw three animals whose names all begin with RA; raccoon, rat, rabbit; felt a sense of amusement"
-71.1274,42.37472,Apple Tree,gardener,n,y,walk,park,n,timeless,nature,plant,wonder,wild,n,n,n,y,"""wonder"""
-71.1208,42.30735,Arnold Arboretum of Harvard University,gardener,n,y,walk,park,y,daily,nature,plant,beauty,impressive,n,n,n,n,"""place of awe; plants and effort to obtain these plants"""
-71.0999,42.3633,Art Installation at Jill Brown-Rhone Park,CRA,n,y,walk,park,n,timeless,visual_design,art/object,mystery,inclusive,n,y,n,n,"""mystery - moments of learning or discovery
""I enjoy the discovery of items/experiences that were intended to be discovered.  It feels like a whimsical conversation with the unknown.  I get to complete what they started.  This, to me, is part of the joy of living in a city."""""
-71.1363,42.31136,Asphalt to Stone,CRA,y,n,walk,park,n,timeless,nature,green space,interconnection,intimate,y,n,n,n,"""awe walk- feeling of 'immersion' when walking on stone versus walking on asphalt"""
-71.1201,42.37202,Beautiful Brick Facade,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,ordinary,n,n,n,n,im not sure what it was about this building in this moment; it not particularly ornate but in this moment the color of the brick seemed quite beautiful
-71.0826,42.37059,Beautiful Brick Home 2,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,impressive,n,n,n,n,a lovely brick home with a fun staircase and semi-circle window
-71.1294,42.37596,Beautiful Homes at Night,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,intimate,n,n,n,n,"""beauty/visual design; Going by longfellow park and went to neighborhoods between mt auburn st and river heading west; backside a really fancy houses on brattle st
Beautiful close to together homes
At night, beautiful and charming"""
-71.0914,42.37274,Being a regular at Satellite,CRA,n,y,walk,"civic, community and cultural venues",n,daily,collective_effervescence,communities,interconnection,inclusive,n,n,n,n,"""interconnection; process of converting people from stranger to friends; Feeling a part of constellation that is connecting her to other stars in area"""
-71.1271,42.39246,Bell Hanging from Tree,CRA,y,n,walk,street,n,timeless,visual_design,art/object,beauty,novel,n,y,n,n,"""moment of whimsy and appreciation"""
-71.1115,42.37581,Best Ever Alleyway,gardener,n,n,walk,street,n,timeless,visual_design,infrastructure,beauty,functional,y,n,n,n,"""Pleasurable cut through because its not the sidewalk and road, Perfect shortcut, Fluidity"""
-71.0948,42.34707,Big Thief Concert at MGM Music Hall,personal,n,n/a,walk,"civic, community and cultural venues",n,periodic,music,event,beauty,impressive,n,n,n,n,
-71.0976,42.3681,Birdie Bush_1,personal,n,n/a,walk,street,n,seasonal,nature,animal,wonder,impressive,n,n,n,y,
-71.0952,42.36661,Birdie Bush_2,personal,n,n/a,walk,street,n,seasonal,nature,animal,wonder,impressive,n,n,n,y,
-71.0965,42.3793,Birds on the Roof of a Church,personal,n,n/a,bike,street,n,periodic,nature,animal,wonder,novel,n,y,n,y,wondering what the birds are all doing there
-71.0965,42.37939,Birds on the Roof of a Church 2,personal,n,n/a,bike,street,n,periodic,nature,animal,wonder,novel,n,y,n,y,this time i was biking and saw the birds flying to the roof. i was surprised to see the birds here again. i wonder what draws them to this location
-71.0778,42.37212,Birds Punctuating Corrugated Metal,CRA,y,n,transit,corridor,n,ephemeral,nature,animal,wonder,wild,n,y,n,n,"""wonder; a feeling of whimsy and magic being there in that moment to see it - ""As she was leaving walk and getting on train, she saw beautiful piece of inset corrugated steel in building; corrugation was broad that created pocket at the bottom; black birds sitting at the bottom these pockets; almost like beautiful framed picture that looked like long elegant vertical font and the birds punctuated the lines of the steel at the bottom"""""
-71.1564,42.3952,Blair Pond,gardener,n,n,walk,park,n,timeless,nature,water,beauty,wild,n,n,y,n,"""bike path feels green and then weirdly industrial; weird little spots that feels accidental, Something charming and unintentional"""
-71.1078,42.37958,Blue Tiles on Side of Building,personal,n,n/a,bike,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,the blueness of these tiles caught my attention
-71.0787,42.34924,Boston Public Library Courtyard,personal,n,n/a,walk,"civic, community and cultural venues",y,daily,visual_design,architecture,beauty,ornate,n,n,y,n,beautiful courtyard
-71.0916,42.34624,Boylston Street Bridge,gardener,y,n,walk,park,y,timeless,visual_design,infrastructure,beauty,ornate,n,n,n,n,"""beauty of old bridge"""
-71.14,42.37641,Brick House,personal,y,n/a,bike,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,lovely small brick home with bricks randomly sticking out in a pleasing manner
-71.1323,42.40064,Brief Enjoyment of the Rain,gardener,n,n,walk,street,n,periodic,nature,weather,wonder,wild,y,n,n,n,"""brief moment of emergence; clarity and awareness of what the world is doing; Momentarily experience of real world and the peculiarities of weather"""
-71.0813,42.36285,Broad Canal Walk,CRA,n,y,walk,waterfront,n,timeless,nature,water,wonder,intimate,y,n,n,n,"""pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.089,42.36283,Broad Discovery Center,CRA,n,y,walk,educational,n,daily,collective_effervescence,architecture,wonder,impressive,n,n,n,n,"""wonder; opportunity to really learn about what is going on behind the scenes of the buildings in Kendall"""
-71.0878,42.35851,Bubbling Water,CRA,y,n,walk,waterfront,n,seasonal,nature,water,beauty,novel,n,y,n,n,"""beautiful/cool; Interface of bubble water, ice and dock (bubbling water to keep ice from forming on docks)"""
-71.1428,42.37378,Budding Trees and Hungry Squirrels,gardener,y,n,walk,park,n,seasonal,nature,plant,wonder,novel,n,n,n,y,"""familiar feeling unfamiliar - nature-a trees budding sooner than she realized; she was able to tell that the trees we're budding because she heard the squirrels moving around above and saw them eating the buds"""
-71.0912,42.35414,Busy Bridge Due to Warmer Weather,gardener,n,n,walk,street,n,seasonal,collective_effervescence,people,interconnection,novel,n,y,n,n,"""interconnection; Noticing big changes due to warm temperatures - more people outside"""
-71.1057,42.36714,Cambridge City Hall Moniker,CRA,n,y,walk,street,n,timeless,epiphany/knowledge,people,mystery,impressive,n,y,n,n,"""mystery: moniker above city hall that says “where the laws are not enforced the people are not well governed”; this provides a sense of mystery when thinking about who felt so strongly that they had to put it on city hall
- visual design and beauty of city hall"""
-71.1107,42.37412,Cambridge Public Library,gardener,n,y,walk,"civic, community and cultural venues",n,seasonal,nature,light,beauty,novel,n,n,y,n,"""attention/appreciation; sitting at certain table in an open space in the back corner that receives light in the afternoon"""
-71.0862,42.36224,Cambridge Science Carnival,CRA,n,y,walk,educational,n,recurring,epiphany/knowledge,event,wonder,impressive,n,n,n,n,"""wonder and curiosity; https://mitmuseum.mit.edu/more/cambridge-science-carnival"""
-71.1067,42.36683,Cambridge YMCA Sauna,gardener,n,y,walk,"civic, community and cultural venues",n,daily,collective_effervescence,people,interconnection,inclusive,n,n,n,y,"""interconnection: locker room conversations"""
-71.0764,42.36813,CambridgeSide Smells,gardener,n,y,walk,industry/office,n,periodic,epiphany/knowledge,smell,wonder,novel,y,y,n,n,"""attention; smell of food, river and algae"""
-71.0814,42.36444,Canal District Kendall,CRA,n,y,walk,waterfront,n,timeless,nature,water,beauty,novel,n,y,n,n,"""beautiful/discovery; something that has caught her attention"""
-71.0807,42.37043,Centanni Way,personal,y,n/a,walk,street,n,timeless,nature,green space,beauty,intimate,n,n,y,n,
-71.0954,42.35604,Charles River Between Harvard and MIT,CRA,y,n,walk,waterfront,n,timeless,nature,vista,vastness,expansive,n,n,n,n,River was frozen and covered in snow: vast plain of white - coldness ; polar adventure feeling; river has changed a lot but something has been rolling down there for a long time
-71.076,42.3686,Charles River Boat Company,gardener,n,y,walk,waterfront,n,seasonal,nature,water,vastness,expansive,n,n,n,n,"""vastness; the connection between the river and the ocean; goes on ride with daughter each year"""
-71.1223,42.39278,City Limits,CRA,y,n,walk,street,n,timeless,visual_design,art/object,wonder,ordinary,n,n,n,n,"""awe in the the change of street signs between cities"""
-71.0953,42.37632,Cobblestones Revealed,personal,n,n/a,walk,street,y,periodic,epiphany/knowledge,art/object,beauty,novel,n,n,n,n,
-71.1201,42.3757,Connection to American Revolution - Cambridge Common,CRA,n,y,walk,park,y,timeless,epiphany/knowledge,green space,interconnection,impressive,n,n,n,n,""" interconnection and historical relationship to the American Revolution
rootedness in american history - ""the history of Cambridge Common, the old burying ground, etc. it's hard not to be reminded that Cambridge is one of the oldest parts of post-colonial America"""""
-71.1525,42.38469,Crackling Ice at Fresh Pond,gardener,n,y,walk,park,n,seasonal,nature,weather,beauty,expansive,n,n,n,y,"""wonder; nature- vastness of crackling, frozen ice and blowing wind"""
-71.1217,42.39087,CSCA Cafe Front Patio,CRA,n,n,walk,"civic, community and cultural venues",n,daily,collective_effervescence,communities,interconnection,inclusive,n,n,n,n,"""interconnection - place where chefs spend time; beautifulfront patio; student made pastries; adorable and friendly; neigborhoody"""
-71.1034,42.35647,Cultural Experience,gardener,n,y,walk,corridor,n,ephemeral,epiphany/knowledge,people,wonder,novel,n,y,n,y,"""wonder; experience native american man near train car that was frequented by alcoholics"""
-71.1203,42.37605,Curious Art Installation in Cambridge Common,personal,y,n/a,walk,park,n,timeless,visual_design,art/object,mystery,novel,n,y,n,n,
-71.1331,42.389,Danehy Park,gardener,n,y,walk,park,n,timeless,nature,green space,mystery,expansive,n,n,y,y,"""vastness: some areas with peaceful quality too;mystery of connecting with something other"""
-71.0886,42.36417,Danny Lewin Park,CRA,n,y,walk,park,n,timeless,nature,green space,wonder,intimate,y,n,n,n,"""pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.125,42.33392,Dappled Light and Frozen Branches,CRA,n,y,bike,street,n,periodic,nature,plant,beauty,novel,n,n,n,n,"""nature - morning sleet that hung to tree branches; beautiful atmospheric experience – acknowledged that this hasn't happened in 4 years, dappled light; this was experienced during his entire commute from Brookline to Cambridge"""
-71.1038,42.35626,Dead Screech Owl by Train Car,gardener,n,y,walk,corridor,n,ephemeral,life/death,animal,wonder,novel,n,y,n,y,"""wonder"""
-71.1361,42.39106,Dodgy Area Behind Danehy,gardener,n,n,walk,park,n,timeless,nature,green space,mystery,wild,n,n,y,n,"""where you'll see and owl; nice crab apple trees"""
-71.1372,42.39053,Dog Park and Picnic Benches at Danehy Park,gardener,n,y,walk,park,n,daily,collective_effervescence,people,interconnection,familiar,n,n,n,n,"""interconnection"""
-71.0906,42.36456,Draper Defense Research Lab,CRA,n,y,walk,industry/office,n,timeless,epiphany/knowledge,architecture,interconnection,impressive,n,n,n,n,"""interconnection of defense labs"""
-71.0906,42.36438,Draper Labs,CRA,n,y,walk,industry/office,n,timeless,epiphany/knowledge,architecture,mystery,exclusive,n,n,n,n,"""mystery: wondering what is happening in these opaque and mysterious labs"""
-71.0742,42.3668,"Ducks, Geese, Ice, Water & Seasonal Transitions",gardener,y,n,walk,waterfront,n,seasonal,nature,weather,beauty,intimate,n,n,n,y,"""Although I’m familiar with this area and have walked here before as well as eaten on the deck of Royal Sonesta which has a similar view of Boston, on this awe walk I really noticed what was very close to me i.e. the water/ice and ducks/geese which I usually don’t notice so much since normally I’m admiring the Boston buildings/skyline. It was an interesting time to be walking at the end of winter. I observed how much of the river was liquid water but that parts were also fragile-looking clear crystal like sheets of ice and then some thicker opaque white ice. It was interesting to see the ducks and geese swim through the liquid water but then also walk along the more solid ice. Sadly there was one goose who was dead and frozen/encased in the ice. And then alongside the river, there were geese walking and looking around in the grass/mud/puddles. In one sense the landscape was a bit drab but also nice to pause for a moment to notice the dirty snow, emerging grass, and mud puddles since I imagine in a couple weeks the landscape will look very different. I noticed various animal footprints as I crossed over a snowy area on my walk. In the background, I saw the Boston skyline and red line train passing by as usual.

I heard a variety of sounds including people’s footsteps running by, sirens, horns, construction, ducks/geese noises, the crunch of my boots walking over the snow at times."""
-71.1036,42.35643,Elephant Droppings,gardener,n,y,walk,corridor,n,ephemeral,nature,animal,wonder,novel,n,y,n,y,"""wonder; Barnham and Baileys circus cars/collecting elephant droppings for garden compost"""
-71.0863,42.37153,Elm Sentinel,personal,y,n/a,walk,street,n,timeless,nature,plant,wonder,impressive,n,n,n,y,
-71.0909,42.3693,Evergreen Trees,personal,y,n/a,walk,street,n,timeless,nature,plant,mystery,impressive,n,y,n,y,"""intrigue about these two trees; they almost felt out of place"""
-71.0888,42.37021,Evidence of a Storm,personal,y,n/a,walk,street,n,periodic,nature,art/object,mystery,wild,n,n,n,y,"""debris and fallen branches from storm earlier in the week"""
-71.1051,42.35329,Experiencing the Water's Edge,CRA,n,n,walk,waterfront,n,timeless,nature,water,beauty,intimate,n,n,y,n,"""nature- It feels different from other place in Cambridge; it offers a tranquil feeling; away from people; opportunity to recharge; reprieve"""
-71.0949,42.36593,Faucet Bench,personal,n,n/a,walk,park,n,timeless,visual_design,art/object,beauty,ornate,n,n,n,n,public art
-71.1212,42.3921,Favorite Corner Ever,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,impressive,n,n,n,n,"""beauty/visual design- ""favorite corner ever""; one particularly beautiful home on the corner with differing flags that the homeowners hang - loves the 1885ness of the house; can see beautiful fence and post work at other nearby homes; beautiful details on nearby houses; quality of light on the street in the summer is beautiful"""
-71.0814,42.36446,Figure Skating Event at Kendall Sq. Ice Rink,gardener,n,y,walk,park,n,seasonal,collective_effervescence,event,wonder,impressive,n,n,n,n,"""wonder, figure skating"""
-71.1058,42.36652,Flowers growing wild,gardener,n,y,walk,park,n,seasonal,nature,plant,wonder,impressive,n,n,n,n,"""wonder; indian blanket plant going and wildflower patch that was out of control"""
-70.9286,42.47105,Fluff Factory,CRA,n,y,walk,industry/office,n,timeless,epiphany/knowledge,architecture,interconnection,impressive,n,n,n,n,"""interconnection through global distribution"""
-71.1365,42.31186,Forest to Meadow Ecotone,CRA,y,n,walk,park,n,timeless,nature,plant,interconnection,intimate,y,n,n,y,"""awe walk - appreciation of shift from one landscape to another; feeling of interconnection with landscape"""
-71.126,42.37639,Forgotten Souls of Tory Row,personal,y,n/a,bike,street,y,timeless,epiphany/knowledge,art/object,wonder,impressive,n,y,n,n,i was at first inaware of what this installation was then was in awe (maybe in an awful sense) of the history of cambridge
-71.0797,42.36852,Fox Decoration,CRA,y,n,walk,street,n,timeless,visual_design,art/object,wonder,ornate,n,n,n,n,"""something left to be discovered and enjoyed (inexact location)"""
-71.0844,42.36237,Galaxy Park,CRA,n,y,walk,park,n,timeless,nature,green space,wonder,intimate,y,n,n,n,"""pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.1154,42.37853,Gem and Minerals Collection at Harvard Museum of Natural History,personal,n,n/a,walk,educational,n,daily,nature,art/object,beauty,impressive,n,n,n,y,
-71.0798,42.36766,Giant Squash Sculptures at Costa Lopez Taylor Park Community Garden,CRA,y,n,walk,park,n,timeless,visual_design,art/object,mystery,inclusive,n,y,n,n,"""mystery in discovery; wonder and appreciation that this it here to enjoy; interconnection being a part of a public conversation viz-a-viz this art piece
- www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_FullSet.pdf"""
-71.1156,42.37846,Glass Flowers Exhibit at Harvard Museum of Natural History,personal,n,n/a,walk,educational,n,daily,visual_design,art/object,beauty,impressive,n,n,n,n,
-71.1322,42.38292,Glistening Branches,gardener,n,n,walk,street,n,periodic,nature,plant,beauty,novel,n,n,n,n,"""observing branches that were covered in ice and glistening; the water was turning liquid and creating a magical experience"""
-71.1246,42.38153,Gnarled Apple Tree,gardener,n,y,walk,park,y,timeless,nature,plant,wonder,wild,n,n,n,y,"""wonder; gnarled apple tree 
relevant history: ""Twenty-five years ago, Radcliffe underwent a transformation, creating the Radcliffe Institute for Advanced Study. On the last day of September 1999, a group of Radcliffe College officials gathered at midnight beneath the gnarled apple tree in Radcliffe Yard “to toast the end of the 120-year-old institution’s independence from Harvard and the birth of the Institute,” according to the Harvard Crimson.""
https://www.radcliffe.harvard.edu/radcliffe-25"""
-71.1209,42.37323,Golden sculpture at Igor Fokin memorial,gardener,n,y,walk,street,n,timeless,visual_design,art/object,mystery,impressive,n,n,n,y,"""mystery; gold sculpture of puppeteer"""
-71.0871,42.36276,Google Cambridge,CRA,n,y,walk,industry/office,n,timeless,epiphany/knowledge,communities,mystery,exclusive,n,n,n,n,"""mystery; wondering what goes on in here"""
-71.1024,42.36483,Graffiti Alley - Richard B. “Rico” Modica Way,CRA,n,y,walk,street,n,timeless,visual_design,art/object,wonder,impressive,y,y,n,n,"""wonder; moment of discovery that is memorable"""
-71.1284,42.398,Half Dome of Moss Growing in Pavement,gardener,n,n,walk,street,n,periodic,nature,plant,wonder,wild,n,n,n,y,"""Ball like green and furry, Exceptional mossy nodes, Random; not where you expected it to be; Amusing; sort of like plants growing in the sidewalk (inexact location)"""
-71.1155,42.37823,Harvard Natural History Museum,CRA,n,y,walk,educational,n,daily,nature,art/object,mystery,impressive,n,n,n,n,"""mystery/vastness-
""I like the rock/natural history museums.  Looking at the multiple examples of crystals and rocks that grow naturally gives me a sense of wonder at nature's creation and a feeling that I am part of something larger than my little world. """""
-71.119,42.37336,Harvard Square T-Stop,CRA,n,y,walk,plaza,y,ephemeral,visual_design,infrastructure,wonder,impressive,y,n,n,n,"""wonder: arriving in Cambridge for the first time in 2013, exiting T station and experiencing Harvard Square, its history, and prestige"""
-71.1441,42.36962,Hawks at Washington Tower,personal,y,n/a,walk,park,n,ephemeral,nature,animal,wonder,wild,n,y,n,y,"""beholding three hawks circling the washingington tower"""
-71.0815,42.36463,Henri A. Termeer Square,CRA,n,y,walk,park,n,timeless,nature,green space,wonder,intimate,y,n,n,n,"""pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.1053,42.36612,History and Community of Cantab Lounge,CRA,n,n,walk,"civic, community and cultural venues",y,daily,collective_effervescence,communities,interconnection,impressive,n,n,n,n,"""interconnection - impressive due to age and longevity
- Inspiring to be a part of community, exciting, joyful
- Went there and witnessed karaoke with lots of locals"""
-71.1182,42.37444,History of Harvard University,gardener,n,y,walk,educational,y,timeless,epiphany/knowledge,communities,mystery,impressive,n,n,n,n,"""mystery: unknown stories, history and famous people who are connected to the campus; also cool architecture"""
-71.1181,42.37524,Holden Chapel,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,y,n,n,beautiful building that caught my attention 
-71.1263,42.39265,House of Many Doors,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,impressive,n,n,n,n,"""appreciation/whimsy - Doors at different heights and directions ; windows are all over the place"""
-71.0829,42.36843,Hurley Street Community Garden,gardener,n,y,walk,park,n,seasonal,moral_beauty,communities,beauty,inclusive,n,n,y,n,"""1. beautiful but small and cozy space; free; ownership of this space that allows for hands on engagement
2. moment of wonder discovering community garden"""
-71.0854,42.36268,Ice Melting on Charles River,CRA,y,n,walk,industry/office,n,seasonal,nature,weather,beauty,wild,n,n,n,n,"""nature, beauty; watching ice melt on Charles River from office"""
-71.0835,42.37014,Indigenous Street Sign,personal,y,n/a,walk,street,n,timeless,epiphany/knowledge,art/object,wonder,novel,n,n,n,n,
-71.1514,42.38942,Juvenile Owl at Black's Nook,gardener,n,y,walk,park,n,ephemeral,nature,animal,wonder,wild,n,n,y,y,"""wonder; intimate; nature: intimate space in the city; once saw a juvenile owl here; mystery of connecting with something other"""
-71.0857,42.37097,Juxtaposition of Church and Brick Building,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,impressive,n,n,n,n,
-71.0874,42.36282,Kendall Public Lobby Events,CRA,n,y,walk,"civic, community and cultural venues",n,recurring,collective_effervescence,event,interconnection,inclusive,n,n,n,n,"""interconnection; kendall public lobby events; history of candy
- https://www.kendallcenter.com/events-public-programs/kendall-public-lobby/
- https://www.cambridgehistorymuseum.com/how-sweet-it-is"""
-71.0817,42.36385,Kendall Square Association Social,CRA,n,y,walk,industry/office,n,recurring,collective_effervescence,event,interconnection,inclusive,n,n,n,n,"""interconnection; connecting with different types of people at the KSA events and being able to interact with the scientists who enjoy the fruits of his labor
-- these events change location in Kendall Sq. """
