X,Y,Name,affiliation,awe_walk(y/n),initial_interview,mode,location,history(y/n),frequency,morphology1,morphology2,phenomenology1,phenomenology2,binary_threshold,binary_surprise,binary_sanctuary,binary_other,description
-71.1406,42.38259,Lakeview Ave Gardens,gardener,n,y,walk,street,n,seasonal,nature,plant,beauty,curated,n,n,n,n,"""visible/accessible beauty"""
-71.1213,42.37543,Larsen Hall,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,interesting windows and brick features
-71.1061,42.36356,Lavender Resilience,gardener,n,n,walk,residences,n,seasonal,nature,plant,wonder,impressive,n,n,n,n,"""impressed by the resilience of a lavender plant that has survived a winter of being buried in snow"""
-71.1323,42.40048,Learning Woodworking,gardener,n,n,walk,residences,n,ephemeral,epiphany/knowledge,art/object,wonder,novel,n,n,n,n,""" Delightful to find out she's good at it; Learning lots about how wood behaves;Appreciation of the different material properties of wood"""
-71.0896,42.36309,Lecture about Kendall Square,CRA,n,y,walk,educational,y,recurring,epiphany/knowledge,event,wonder,impressive,n,n,n,n,"""interconnection: went to talk about origin of Kendall Square"""
-71.1417,42.38205,Lexington St. Gardens,gardener,n,y,walk,street,n,seasonal,nature,plant,beauty,curated,n,n,n,n,"""visible/accessible beauty"""
-71.0849,42.37034,Library Magnolias,personal,y,n/a,walk,street,n,timeless,nature,plant,wonder,curated,n,n,n,y,
-71.1378,42.38458,Lilac Bush Bud,gardener,n,y,walk,residences,n,seasonal,nature,plant,mystery,wild,n,n,n,y,"""mystery; progression of lilac bud growing one winter during the pandemic when she could see the changes from her window as she did yoga class each morning"""
-71.1165,42.37245,List of Events,personal,y,n/a,walk,street,n,timeless,epiphany/knowledge,art/object,wonder,impressive,n,y,n,n,"""amazed by how much was going on"""
-71.1553,42.38424,Little Fresh Pond Dog Beach,gardener,n,y,walk,park,n,timeless,nature,vista,vastness,expansive,n,n,n,n,"""vastness; nature - view of sky and clouds"""
-71.1239,42.38097,Locust Tree,gardener,n,y,walk,park,n,timeless,nature,plant,wonder,impressive,n,n,n,y,"""wonder; locust tree with thorns"""
-71.0753,42.3615,Longfellow Bridge,CRA,n,y,walk,street,y,timeless,visual_design,infrastructure,beauty,ornate,n,n,n,n,"""visual design, beauty and history; it is ""unnecessarily ornate"" and therefore inspiring ; the main piers have sculptures that represent the prows of viking ships because it is believed that the vikings sailed up the Charles"""
-71.0969,42.37034,Looming Building,CRA,n,n,walk,street,n,timeless,visual_design,architecture,vastness,impressive,n,n,n,n,"""vastness - can see new somerville building that looms over neighborhood; its feels omnipresent; provides variation of scale and vastness"""
-71.1047,42.36588,Lost and Found Wallet,CRA,n,y,walk,street,n,ephemeral,moral_beauty,people,interconnection,impressive,n,y,n,n,"""interconnection; anecdote of losing wallet between YMCA and Central Sq. T station and 3 days later someone mailed his wallet to him"""
-71.0951,42.36644,Magnolia Flowers,personal,n,n/a,walk,street,n,seasonal,nature,plant,beauty,impressive,n,n,n,n,
-71.0851,42.36241,Main Street on Fourth of July,CRA,n,y,walk,street,n,recurring,collective_effervescence,event,interconnection,impressive,n,n,n,n,"""vastness; sheer number of people and seeing the streets in a different way than is typically used"""
-71.1281,42.3747,Man Zamboni-ing Rink by Hand at Cambridge Skating Club,CRA,n,y,walk,"civic, community and cultural venues",n,seasonal,epiphany/knowledge,people,mystery,impressive,n,y,n,n,"""surprise; change of routine; witness man hand zamboni-ing outdoor ice rink"""
-71.0942,42.36009,Massachusetts Institute of Technology,gardener,n,y,walk,educational,y,timeless,epiphany/knowledge,communities,vastness,impressive,n,n,n,n,"""vastness; enduring quality of being impressive and influential"""
-71.0849,42.36497,Maya Lin - Sound Waves,CRA,n,y,walk,park,n,timeless,visual_design,art/object,wonder,intimate,n,n,n,n,"""pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.1287,42.38598,Melting Snow Piles,gardener,n,n,walk,street,n,seasonal,nature,weather,wonder,novel,n,y,n,n,"""amazed how how quickly the snow piles have been melting"""
-71.0928,42.36952,Mint Colored House,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,the color of the house and the number on the side
-71.0941,42.35835,MIT Chapel,gardener,n,y,walk,educational,n,daily,visual_design,art/object,mystery,impressive,n,y,n,n,"""mystery: reflection in chapel"""
-71.0864,42.36211,MIT Museum,CRA,n,y,walk,educational,n,daily,epiphany/knowledge,art/object,mystery,impressive,n,n,n,n,"""mystery"""
-71.0886,42.36723,Moderna during Covid-19 Pandemic,CRA,n,y,walk,industry/office,n,ephemeral,epiphany/knowledge,architecture,interconnection,impressive,n,n,n,n,"""vastness; feeling global impact and connection during the pandemic; ""we're all dependent on what happens in these buildings even though we might not understand it"""
-71.0949,42.36805,Morning Light on Kitchen Table,personal,n,n/a,walk,residences,n,seasonal,nature,light,wonder,novel,n,y,n,n,beautiful light on kitchen table that seems to be seasonal
-71.145,42.37521,Mount Auburn Cemetery,gardener,n,y,walk,park,y,timeless,nature,green space,vastness,intimate,n,n,y,n,"""wonder + vastness: lots of old plants and burial plots; peaceful; beautiful monuments; can get lost there"
-71.1455,42.37359,Mount Auburn Solstice Winter Lights Festival,gardener,n,y,walk,park,n,seasonal,visual_design,event,wonder,novel,n,n,n,n,"""wonder"""
-71.1511,42.38933,Mud Season Frogs at Black's Nook,gardener,n,y,walk,park,n,seasonal,nature,animal,wonder,wild,n,n,y,y,"""wonder; intimate; nature: intimate space in the city; enjoying the frogs during mud season; mystery of connecting with something other"""
-71.0789,42.36993,Mural of Working Life,CRA,n,y,walk,street,n,timeless,visual_design,art/object,wonder,ornate,n,n,n,n,"""mystery in discovery; wonder and appreciation that this it here to enjoy; interconnection being a part of a public conversation viz-a-viz this art piece-- 2nd st across from multicultural arts center
Sculpture piece that is houses and work scene; looks like colonial art"""
-71.1015,42.36381,Mural outside the Middle East,CRA,n,y,walk,street,n,timeless,visual_design,art/object,wonder,ordinary,n,n,n,n,"""wonder - enjoys murals that depict real life in Cambridge and demonstrate how the city has changed over time"""
-71.1273,42.39,Mushroom Logs,gardener,n,n,walk,park,n,seasonal,nature,plant,wonder,impressive,n,n,n,y,"""Excitement of colonized mushroom log"""
-71.1273,42.38994,Mycelium at McMath Park Community Garden,gardener,n,y,walk,park,n,seasonal,nature,plant,vastness,wild,n,n,n,y,"""smell of the soil; vastness of noticing the mycelium"""
-71.1166,42.37238,Mysterious Courtyard,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,mystery,exclusive,n,n,y,n,
-71.0975,42.36291,Necco Factory,CRA,n,y,walk,industry/office,y,timeless,epiphany/knowledge,architecture,interconnection,impressive,n,n,n,n,"""interconnection through global distribution"""
-71.1293,42.38642,Neighbor Cleaning Up Sidewalk,gardener,n,n,walk,street,n,periodic,moral_beauty,people,interconnection,impressive,n,y,n,n,"""noticing and appreciating neighbor who was cleaning up her sidewalk from the debris that's apparent after the snow has melted;Appreciation for people who are doing this; people improving surroundings for themselves and others"""
-71.066,42.35843,Nichols House Museum,gardener,n,y,walk,"civic, community and cultural venues",y,daily,moral_beauty,people,wonder,inclusive,n,n,n,n,"""wonder; social responsibilty - womens suffrage"""
-71.0988,42.383,Nunziato Dog Park,CRA,n,n,walk,park,n,daily,collective_effervescence,people,interconnection,inclusive,n,n,n,y,"""interconnection
Captive audience in dog park
Excuse to strike up conversations with strange
Share experience of whatever weird thing a dog is doing
https://aabirkett.wixsite.com/nunziatodogs"""
-71.1417,42.37209,Observations from an Awe Walk in Mt. Auburn Cemetery,gardener,y,n,walk,park,n,seasonal,nature,animal,wonder,wild,n,n,n,y,"“Cardinal song, mind settling, breathing deeply, ice becoming liquid, chickadee, red tailed hawk, squirrel sputtering a warning, grey squirrels foraging the first awakening growth in the elm branches, memories of earlier walks alone and with companions, stillness, tombstones of distant relatives a time long ago, the sound of dripping water, first thaw, a robin.”"
-71.1143,42.37167,Old Cambridge Baptist Church,gardener,n,n,walk,"civic, community and cultural venues",n,timeless,visual_design,architecture,beauty,ornate,n,y,n,n,"""visual design; seeing the familiar as new; appreciating the beauty of the church where she does ballet"""
-71.1064,42.36433,Old Home Being Moved,personal,y,n/a,walk,street,y,periodic,epiphany/knowledge,architecture,wonder,impressive,n,n,n,n,
-71.1397,42.37595,Old Oak Tree in Lowell Park,gardener,n,n,walk,park,y,timeless,nature,plant,interconnection,wild,n,n,n,y,"""nature - interconnection; old oak tree that has been a witness to so much history"""
-71.0938,42.36904,Ornate Wooden Home,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,its not a particularly beautiful home but something about its ornate quality caught me
-71.1447,42.38316,Pedestrians and Cyclists Near Fresh Pond,gardener,n,y,walk,park,n,daily,collective_effervescence,people,interconnection,familiar,n,n,n,n,"""interconnection"""
-71.1046,42.36185,Peggy Hayes Memorial Garden,gardener,n,y,walk,park,n,seasonal,collective_effervescence,communities,mystery,impressive,n,y,n,y,"""mystery: people at community garden (example of learning chinese poetry one summer and chinese gardener/friend reciting poems; peruvian gardener who brings son that digs 2 ft holes)"""
-71.1195,42.38377,People Pouring onto the Street,CRA,n,y,walk,street,n,ephemeral,collective_effervescence,people,interconnection,impressive,n,n,n,n,"""vastness- people pouring onto the street when Trump lost the election"""
-71.0928,42.34144,People Watching on Bench,gardener,y,n,walk,park,n,daily,collective_effervescence,people,interconnection,ordinary,n,n,n,y,"""interconnection on awe walk- noticing and appreciating life around him; geese around; someone practicing saxophone; glitter on water from sun; fantastic oak trees with dry leaves clattering in the wind; gorgeous sycamore tree; ""slushy blue-grey skin of ice on the lagoon,"" ""squishy footsteps of people walking buy"""
-71.10702,42.37456,Peregrine Falcon in Street Tree,CRA,n,y,walk,street,n,periodic,nature,animal,wonder,wild,n,n,n,y,
-71.0954,42.36056,Perseverant Street Tree,personal,y,n/a,walk,street,n,timeless,nature,plant,wonder,impressive,n,n,n,y,
-71.1267,42.39037,Pink Triangle on Roof of House,gardener,n,y,walk,residences,n,seasonal,nature,light,wonder,novel,n,n,n,n,"""wonder; Tiny moments like in winter when looking out of the window and if there is snow on the roof of the neighbors house, there is a pink rectangle"""
-71.0621,42.3662,Playoff Hockey Game at TD Garden,personal,n,n/a,walk,"civic, community and cultural venues",n,periodic,collective_effervescence,event,interconnection,impressive,n,n,n,n,
-71.0873,42.36245,Plowed Bike Lane,personal,y,n/a,walk,street,n,seasonal,moral_beauty,art/object,interconnection,inclusive,n,n,n,n,
-71.0851,42.36541,Potential NASA location in 1960s,CRA,n,y,walk,industry/office,y,timeless,epiphany/knowledge,architecture,interconnection,impressive,n,n,n,n,"""interconnection through history"""
-71.102,42.36532,Potluck Mural,CRA,n,y,walk,street,n,timeless,visual_design,art/object,wonder,familiar,n,n,n,n,"""wonder - enjoys murals that depict real life in Cambridge and demonstrate how the city has changed over time"""
-71.0766,42.35001,Protest at Copley Square,personal,n,n/a,walk,plaza,n,periodic,collective_effervescence,people,interconnection,impressive,n,n,n,n,
-71.1173,42.37286,Radial Doorway,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,beautiful doorway 
-71.1279,42.38657,Raymond Park Community Garden,gardener,n,y,walk,park,n,seasonal,moral_beauty,communities,interconnection,inclusive,n,n,y,y,"""interconnection with others who share produce and knowledge + the navigation of shares resources like the hose; garden is soothing and enjoyable"""
-71.0865,42.37055,Red and Green Buildings,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,wonder,impressive,n,n,n,n,the juxtaposition of these buildings and their colors created a moment of awe
-71.1245,42.38168,Reishi Mushroom,gardener,n,y,walk,park,n,seasonal,nature,plant,wonder,impressive,n,n,n,y,"""wonder: Reishi mushroom that grows on a a tree in Radcliffe"""
-71.1273,42.39001,Resilience of Parsley Plant,gardener,n,n,walk,park,n,seasonal,nature,plant,wonder,impressive,n,n,n,y,"""wonder of the plant's resilience , coming back after the winter"""
-71.0811,42.37019,Resilient Oak and Waves of Asphalt,personal,y,n/a,walk,street,n,timeless,nature,plant,wonder,impressive,n,n,n,n,
-71.1289,42.38593,Resilient Witch Hazel,gardener,n,n,walk,residences,n,seasonal,nature,plant,wonder,impressive,n,n,n,n,"""noticing that her witch hazel was nearly covered with snow the week prior; plants being resilient and ""just carrying on"" - this is also reassuring"""
-70.9859,42.42023,Revere Beach,gardener,y,n,walk,waterfront,n,timeless,nature,water,vastness,impressive,n,n,n,n,"""interconnection, vastness, nature- went to the beach knowing that this is a hub of diversity; no one was on the beach and northeast winds were strong"""
-71.1424,42.39841,Rhythm of the Reeds,gardener,n,n,bike,park,n,timeless,nature,green space,wonder,ordinary,y,n,n,n,"""pleasing transition from a sandy to wooden path accompanied by reeds on either side that add a rhythmic quality; enjoyment of the material property of the wood"""
-71.1158,42.35805,Riverside Boat Club,CRA,n,y,walk,"civic, community and cultural venues",n,timeless,moral_beauty,communities,interconnection,inclusive,n,n,n,n,"""interconnection; it matters if you show up and contribute"""
-71.0787,42.37006,Row of Columns,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,"""They represent someone making a choice that I enjoyed."""
-71.0972,42.36225,Rube Goldberg Machines - Old MIT Museum,CRA,n,y,walk,educational,n,recurring,collective_effervescence,event,mystery,impressive,n,n,n,n,"""mystery; - experience of “oh thats how that works” or “oh i hadnt thought of that in that way”this used to be the MIT Museum and home to the ""Friday After Thanksgiving"" Chain Reaction event where people would come together with Rube Goldberg Machines. This took place between 1997-2019."""
-71.1237,42.39191,Russell Apartments and Townhouse Row,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,ordinary,n,n,n,n,"""beauty - appreciation of the mixed used nature of the area; Weird mix of density and uses - “its not cohesive but somehow it just makes sense”"""
-71.0956,42.3678,Secret Back Yard 1,CRA,y,n,walk,street,n,timeless,visual_design,architecture,mystery,exclusive,n,n,y,n,"""mystery - Interstitial spaces - mystery of what's around the corner; mystery of how people are having private lives so adjacent to public space"""
-71.0958,42.36791,Secret Back Yard 2,CRA,y,n,walk,street,n,timeless,visual_design,architecture,mystery,exclusive,n,n,y,n,"""Interstitial spaces - mystery of what's around the corner; mystery of how people are having private lives so adjacent to public space"""
-71.0797,42.36644,Sidewalk Poem,CRA,y,n,walk,street,n,timeless,visual_design,art/object,interconnection,ornate,n,n,n,n,"""a conversation started by someone else and left for me to discover and complete through my own interpretation - which I find joyful and whimsical - a type of awe
https://experience.arcgis.com/experience/3b9ec94f3e0d408ba9f2d3aa30d666c6/page/default?views=Sidewalk-Poetry%2CSidewalk-Poetry-#data_s=id%3AdataSource_1-18eed318ed5-layer-70%3A35"""
-71.106,42.36362,Sidewalk Society,gardener,n,y,walk,street,n,daily,collective_effervescence,people,interconnection,familiar,n,n,n,n,"""interconnection: guy from Barbados who called him chief; people to look at and talk to on sidewalk; increased opportunity through shoveling"""
-71.0975,42.36295,Smell of Candy from Cambridge Brands Inc,personal,n,n/a,walk,street,n,daily,epiphany/knowledge,smell,wonder,novel,y,n,n,n,
-71.0851,42.37172,Smoke This Rib Festival,CRA,n,y,walk,street,n,recurring,collective_effervescence,event,interconnection,impressive,n,n,n,n,"""vastness + interconnection; https://eastcambridgeba.com/smoke-this-rib-fest"""
-71.0949,42.36811,Snow Fort,personal,n,n/a,walk,street,n,seasonal,nature,art/object,wonder,novel,n,n,y,n,
-71.1283,42.3857,Snowdrops near Sidewalk,gardener,n,n,walk,street,n,seasonal,nature,plant,wonder,wild,n,y,n,n,"""nature - spring ephemerals"""
-71.0946,42.36724,Snowed in Car,personal,n,n/a,walk,street,n,seasonal,nature,weather,beauty,impressive,n,n,n,n,
-71.0913,42.3544,Snowy Charles River,personal,n,n/a,walk,waterfront,n,timeless,nature,vista,beauty,expansive,n,n,n,n,
-71.0305,42.39444,Social Joy Through Volunteering,gardener,n,n,walk,"civic, community and cultural venues",n,recurring,collective_effervescence,event,interconnection,inclusive,n,n,n,y,"""Social joy and love of connection
In Chelsea, two or three times a week between february and mid april he will work for a few hours at the neighborhood developers community development corporation to help people prepare tax documents for spanish speaker"""
-71.0683,42.35555,Social Responsibility in Beacon Hill,gardener,n,y,walk,street,y,timeless,moral_beauty,people,vastness,inclusive,n,n,n,n,"""vastness; history and social responsibility"""
-71.132,42.38281,Softened Edges,gardener,n,n,walk,street,n,seasonal,nature,weather,beauty,novel,n,n,n,n,"""noticing the amount of snow this winter and the ways in which things have rounded rather than hard edges when covered in snow"""
-71.1061,42.38963,Somerville Winter Farmers Market at the Armory,personal,n,n/a,walk,"civic, community and cultural venues",n,seasonal,collective_effervescence,event,interconnection,impressive,n,n,n,n,
-71.083,42.37065,Sound of Oak Leaves,personal,y,n/a,walk,street,n,seasonal,nature,plant,wonder,novel,y,n,n,n,
-71.1445,42.37327,Sphinx and Chapel,personal,y,n/a,walk,park,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,juxaposition and architectural variety of tombstones in cemetery
-71.069,42.36902,Spring Daffodils at North Point Park,gardener,n,y,walk,park,n,seasonal,nature,plant,wonder,curated,n,n,n,n,"""wonder/attention"""
-71.0941,42.36704,Spring Flowers,personal,n,n/a,walk,street,n,seasonal,nature,plant,beauty,novel,n,y,n,n,beautiful
-71.1209,42.39065,St. James Episcopal Church,CRA,n,y,walk,"civic, community and cultural venues",n,daily,moral_beauty,communities,wonder,inclusive,n,n,n,n,"""wonder and interconnection; beautiful church with that wonderful community that does a great job to connect people by setting up one-on-one conversations and coffee hours; lots of opportunities to get involved
- feeling of mattering to community because there are only 80 members and it matters if you show up and support it"""
-71.1017,42.36522,Starlight Dance Party,CRA,n,y,walk,plaza,n,recurring,collective_effervescence,event,wonder,impressive,n,n,n,n,"""never got to attend one of the dance parties and they no longer happen"""
-71.0743,42.37197,Summer Nights at Cambridge Crossing,gardener,n,y,walk,park,n,seasonal,moral_beauty,event,interconnection,inclusive,n,n,n,n,"""interconnection; free concert for community"""
-71.0921,42.36039,Sunset from Outfinite Corridor,personal,n,n/a,walk,street,n,periodic,nature,light,beauty,novel,n,n,n,n,
-71.1398,42.37588,Sunset Snow in Lowell Park,gardener,y,n,walk,park,n,seasonal,nature,light,beauty,novel,n,n,n,n,"""observing pink and blueish snow while the sun was setting"""
-71.0909,42.37046,Sycamore and Birds,personal,y,n/a,walk,park,n,periodic,nature,plant,wonder,impressive,n,n,n,y,
-71.1079,42.36178,Sycamore Tree_1,personal,y,n/a,walk,street,n,timeless,nature,plant,beauty,impressive,n,n,n,y,
-71.1376,42.37716,Sycamore Tree_2,personal,y,n/a,bike,street,n,timeless,nature,plant,beauty,impressive,n,n,n,y,
-71.143,42.39672,Tall Teasel Plant,gardener,n,y,walk,park,n,seasonal,nature,plant,wonder,impressive,n,n,n,y,"""wonder"""
-71.1016,42.38806,The Friend Smithsonian Museum Yard Ornaments,personal,n,n/a,walk,street,n,timeless,visual_design,art/object,wonder,impressive,n,y,n,n,amount of yard ornaments
-71.1172,42.37158,The Harvard Lampoon,personal,y,n/a,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,beautiful building well situated within the streetscape; the door in particular caught my attention
-71.1317,42.38471,The Shady Side of the Street,gardener,n,n,walk,street,n,daily,nature,light,wonder,wild,n,n,n,n,"""noticing the shady side of the street based on the presence of snow piles"""
-71.0941,42.37028,The Sound of a Stream,CRA,y,n,walk,street,n,ephemeral,epiphany/knowledge,sound,beauty,novel,n,y,n,n,"""beauty/joy/curiosity - stopped to notice the sound of a stream while walking on Windsor St, which turned out to be water draining into a storm drain"""
-71.1367,42.40095,The Sound of the Sand,gardener,n,n,bike,park,n,timeless,nature,sound,wonder,ordinary,y,n,n,n,"""pleasurable sound of the sand as you transition from the pavement"""
-71.1234,42.39472,Tiffany Lamp,CRA,y,n,walk,street,n,timeless,visual_design,art/object,wonder,ornate,n,n,n,n,"""mystery/wonder - wondering if this is a design choice; noticing these lamps more frequently"""
-71.1201,42.37496,Tombstone Embedded in Tree,personal,y,n/a,walk,park,y,timeless,nature,plant,wonder,impressive,n,n,n,n,"""amazing to see the tree growing around the tombstone"""
-71.0755,42.35,Trinity Church Cedar Pillars,gardener,n,y,walk,"civic, community and cultural venues",n,timeless,epiphany/knowledge,architecture,wonder,impressive,n,n,n,n,"""cedar pillars as way to learn from nature"""
-71.1212,42.37293,Turkeys in Harvard Square,gardener,n,n,walk,street,n,periodic,nature,animal,wonder,novel,n,y,n,y,"""nature; unexpectedness; noticing what she might otherwise have missed"""
-71.0866,42.36315,Urban Park (UP) Roof Garden,CRA,n,y,walk,park,n,timeless,nature,architecture,wonder,inclusive,n,n,y,n,"""wonder: charming and example of securing public amenities; the space is designed with nook and crannies"""
-71.0884,42.3671,Vaccine Production During Covid,CRA,n,y,walk,industry/office,n,ephemeral,epiphany/knowledge,architecture,interconnection,impressive,n,n,n,n,"""interconnection of Kendall Sq with rest of the world during the pandemic"""
-71.0854,42.36262,View from Cambridge Redevelopment Authority,CRA,n,y,walk,industry/office,n,daily,nature,vista,wonder,expansive,n,n,n,n,"""wonder; view to Charles River, Volpe parcel development; high level view of city that provides a sense of time"""
-71.1338,42.31268,View of Boston from Larz Anderson Park,CRA,y,n,walk,park,n,timeless,nature,vista,wonder,expansive,n,n,n,n,"""awe walk- sense of wonder at top of park"""
-71.0434,42.37,View of Boston Skyline from East Boston,personal,y,n/a,walk,waterfront,n,timeless,nature,vista,beauty,expansive,n,n,n,n,
-71.0678,42.369,Vista + Boston Skyline,gardener,n,y,walk,waterfront,n,timeless,nature,vista,vastness,expansive,n,n,n,n,"""beauty and vastness: walking along the Charles River and enjoy the boston skyline"""
-71.0765,42.35621,Vista from Esplanade,CRA,n,y,walk,waterfront,n,timeless,nature,vista,wonder,expansive,n,n,n,n,"""wonder; seeing the skyline of Backbay"""
-71.0761,42.36488,Vista of Charles River Basin,gardener,n,y,walk,waterfront,n,timeless,nature,vista,wonder,expansive,n,n,n,n,"""wonder; openness"""
-71.087,42.36042,Vista of Charles River Basin + Boston Skyline at Sunset from MIT Media Lab,personal,n,n/a,walk,educational,n,timeless,nature,vista,beauty,expansive,n,n,n,n,
-71.1273,42.37487,Vista to Charles River at Longfellow Park,CRA,n,y,walk,waterfront,n,timeless,nature,vista,beauty,expansive,n,n,n,n,"""attention grabbing; beautiful"""
-71.0815,42.36522,Walkway between Linskey & Binney,CRA,n,y,walk,park,n,timeless,nature,green space,wonder,intimate,y,n,n,n,"""wonder - pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.1221,42.36937,Weld Boat House,CRA,n,y,walk,"civic, community and cultural venues",y,timeless,visual_design,infrastructure,beauty,ornate,n,n,n,n,"""wonder, beauty, excellence and history; viking motif from longfellow bridge is found on this boathouse"""
-71.134,42.38887,Winter at Danehy Park,gardener,n,y,walk,park,n,seasonal,nature,vista,vastness,expansive,n,n,y,n,"""vastness; nature- view of sky and more horizon here; sense of vastness which is increased by the snow and being alone"""
-71.0888,42.36114,Witchhazel,personal,n,n/a,walk,street,n,seasonal,nature,plant,beauty,novel,n,n,n,y,"""first time seeing watchhazel flower and getting to smell it"""
-71.0958,42.36628,Witnessing Connection on Street Corner,personal,n,n/a,bike,street,n,periodic,moral_beauty,people,interconnection,novel,n,n,n,y,
-71.1272,42.39268,Woodworking Design Flourishes,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,"""beauty- appreciation of variation in buildings and beautiful design flourishes"""
-71.1145,42.39133,Yard Ornaments,CRA,n,y,walk,street,n,timeless,visual_design,art/object,mystery,ornate,n,n,n,n,"""mystery of why these people are putting out yard ornaments"""